52,5444834849153130,98201,744092,1829521,16.874
39,6304582037824379,94390,293990,99843219014915391789,-2.76699
33,6334894540073640,74636,-268034,762226326713856797,-75.48279
55,3528932092939553,76991,-374744,623983723533238798,-5.5397
38,5610642893079475,93889,614992,54028298556899737345,-27.34727
36,346624429994601,38827,433135,0833743071048524,1.52438
44,6011958738751018,26109,-125370,6104587554974156929,-3.00165
24,3528594035479988,72735,636314,94342620667,-53.15644
41,5406354535225502,29407,446200,964532707115,54.86223
22,6011751537742506,92338,29149,3486908,24.68269
46,201414813254265,64777,3921,99465491,-45.98933
19,30086459085463,74201,-301550,1124111533,18.58419
39,4026190807785440,80491,915728,62623000620498680,68.95448
28,3528245252389893,55759,-899992,6177247112043,-6.10474
60,36418064850953,08534,741894,74792,-79.77532
47,5115869484606248,29277,972668,389795738845,32.40495
35,349371853021215,29228,467226,457361582860813,24.94689
61,4026079382377105,22526,58261,3796804072581,8.11661
36,4026712329263570,27347,68157,76347943,-22.18477
21,6371266217477434,98309,-194348,00504371578276299,-20.31143
37,4026017317801443,98217,-54890,184554687972,62.58103
28,4026398560718587,40227,897297,39489276879733,78.84067
40,5610737502535279,09695,694794,356946273,31.66311
36,4187052311800401,28879,998433,30804772438,-12.84295
43,5483177112477212,16696,-891767,6434252284340,35.69539
